ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
geometry,هندسه یازدهم,2,تبدیل های هندسی و کاربردها,اختصاصی,یازدهم,R,یازدهم
geometry,هندسه یازدهم,3,روابط طولی در مثلث,اختصاصی,یازدهم,R,یازدهم
hesaban,حسابان یازدهم,1,جبر و معادله,اختصاصی,یازدهم,R,
hesaban,حسابان یازدهم,2,تابع,اختصاصی,یازدهم,R,
hesaban,حسابان یازدهم,3,توابع نمایی و لگاریتمی,اختصاصی,یازدهم,R,
hesaban,حسابان یازدهم,4,مثلثات,اختصاصی,یازدهم,R,
hesaban,حسابان یازدهم,5,حد و پیوستگی,اختصاصی,یازدهم,R,
physics,فیزیک یازدهم,1,الکتریسیته ساکن,اختصاصی,یازدهم,T,
physics,فیزیک یازدهم,2,جریان الکتریکی و مدارهای جریان مستقیم,اختصاصی,یازدهم,T,
physics,فیزیک یازدهم,3,مغناطیس و القای الکترو مغناطیس,اختصاصی,یازدهم,T,
zist,زیست یازدهم,1,تنظیم عصبی,اختصاصی,یازدهم,T,
zist,زیست یازدهم,2,حواس,اختصاصی,یازدهم,T,
zist,زیست یازدهم,3,دستگاه حرکتی,اختصاصی,یازدهم,T,
zist,زیست یازدهم,4,تنظیم شیمیایی,اختصاصی,یازدهم,T,
zist,زیست یازدهم,5,ایمنی,اختصاصی,یازدهم,T,
zist,زیست یازدهم,6,تقسیم یاخته,اختصاصی,یازدهم,T,
zist,زیست یازدهم,7,تولید مثل,اختصاصی,یازدهم,T,
zist,زیست یازدهم,8,تولید مثل نهان دانگان,اختصاصی,یازدهم,T,
zist,زیست یازدهم,9,پاسخ گیاه به محرک ها,اختصاصی,یازدهم,T,
geology,زمین یازدهم,1,آفرینش کیهان و تکوین زمین,اختصاصی,یازدهم,T,
geology,زمین یازدهم,2,منابع معدنی و ذخایر انرژی,اختصاصی,یازدهم,T,
geology,زمین یازدهم,3,منابع آب و خاک,اختصاصی,یازدهم,T,
geology,زمین یازدهم,4,زمین شناسی و سازه های مهندسی,اختصاصی,یازدهم,T,
geology,زمین یازدهم,5,زمین شناسی و سلامت,اختصاصی,یازدهم,T,
geology,زمین یازدهم,6,پویایی زمین,اختصاصی,یازدهم,T,
geology,زمین یازدهم,7,زمین شناسی ایران,اختصاصی,یازدهم,T,
geology,زمین یازدهم,1,آفرینش کیهان و تکوین زمین,عمومی,یازدهم,R,
geology,زمین یازدهم,2,منابع معدنی و ذخایر انرژی,عمومی,یازدهم,R,
geology,زمین یازدهم,3,منابع آب و خاک,عمومی,یازدهم,R,
geology,زمین یازدهم,4,زمین شناسی و سازه های مهندسی,عمومی,یازدهم,R,
geology,زمین یازدهم,5,زمین شناسی و سلامت,عمومی,یازدهم,R,
geology,زمین یازدهم,6,پویایی زمین,عمومی,یازدهم,R,
geology,زمین یازدهم,7,زمین شناسی ایران,عمومی,یازدهم,R,
math,ریاضی یازدهم,1,هندسه تحلیلی و جبر,اختصاصی,یازدهم,T,
