ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
math,ریاضی یازدهم,2,هندسه,اختصاصی,یازدهم,T,
math,ریاضی یازدهم,3,تابع,اختصاصی,یازدهم,T,
math,ریاضی یازدهم,4,مثلثات,اختصاصی,یازدهم,T,
math,ریاضی یازدهم,5,توابع نمایی و لگاریتمی,اختصاصی,یازدهم,T,
math,ریاضی یازدهم,6,حد و پیوستگی,اختصاصی,یازدهم,T,
math,ریاضی یازدهم,7,آمار و احتمال,اختصاصی,یازدهم,T,
literature,ادبیات یازدهم,0,ستایش: لطف خدا,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,1,نیکی,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,2,قاضی بست,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,3,در امواج سند,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,5,آغازگری تنها,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,6,پرورده عشق,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,7,باران محبت,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,8,در کوی عاشقان,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,9,ذوق لطیف,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,10,بانگ جرس,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,11,یاران عشق,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,12,کاوه دادخواه,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,14,حمله حیدری,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,15,کبوتر طوق دار,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,16,قصه عینکم,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,17,خاموشی دریا,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,18,خوان عدل,عمومی,یازدهم,"T,R,E",
literature,ادبیات یازدهم,19,نیایش: الهی,عمومی,یازدهم,"T,R,E",
arabic,عربی یازدهم,1,درس 1,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,2,درس 2,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,3,درس 3,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,4,درس 4,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,5,درس 5,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,6,درس 6,عمومی,یازدهم,"T,R",
arabic,عربی یازدهم,7,درس 7,عمومی,یازدهم,"T,R",
english,زبان یازدهم,1,درس اول,عمومی,یازدهم,"T,R,E",
english,زبان یازدهم,2,درس دوم,عمومی,یازدهم,"T,R,E",
english,زبان یازدهم,3,درس سوم,عمومی,یازدهم,"T,R,E",
dini,دینی یازدهم,1,هدایت الهی,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,2,تداوم هدایت,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,3,معجزه جاویدان,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,4,مسئولیت های پیامبر,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,5,امامت، تداوم رسالت,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,6,پیشوایان اسوه,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,7,وضعیت فرهنگی، اجتماعی و سیاسی مسلمانان پس از رحلت ,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,8,احیای ارزش های راستین,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,9,عصر غیبت,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,10,مرجعیت و ولایت فقیه,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,11,عزت نفس,عمومی,یازدهم,"T,R",
dini,دینی یازدهم,12,پیوند مقدس,عمومی,یازدهم,"T,R",
writing,نگارش یازدهم,1,اجزای نوشته: ساختار و محتوا,عمومی,یازدهم,"T,R,E",
writing,نگارش یازدهم,2,گسترش محتوا 1: زمان و مکان,عمومی,یازدهم,"T,R,E",
writing,نگارش یازدهم,3,گسترش محتوا 2: شخصیت,عمومی,یازدهم,"T,R,E",
writing,نگارش یازدهم,4,گسترش محتوا 3: گفت و گو,عمومی,یازدهم,"T,R,E",
writing,نگارش یازدهم,6,کاهش محتوا: خلاصه نویسی,عمومی,یازدهم,"T,R,E",
arabic,عربی یازدهم,1,درس 1,اختصاصی,یازدهم,E,
arabic,عربی یازدهم,2,درس 2,اختصاصی,یازدهم,E,
arabic,عربی یازدهم,3,درس 3,اختصاصی,یازدهم,E,
arabic,عربی یازدهم,4,درس 4,اختصاصی,یازدهم,E,
arabic,عربی یازدهم,5,درس 5,اختصاصی,یازدهم,E,
