ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
arabic,عربی یازدهم,6,درس 6,اختصاصی,یازدهم,E,
arabic,عربی یازدهم,7,درس 7,اختصاصی,یازدهم,E,
dini,دینی یازدهم,1,هدایت الهی,عمومی,یازدهم,E,
dini,دینی یازدهم,2,تداوم هدایت,عمومی,یازدهم,E,
dini,دینی یازدهم,3,آخرین پیامبر,عمومی,یازدهم,E,
dini,دینی یازدهم,4,معجزه جاویدان,عمومی,یازدهم,E,
dini,دینی یازدهم,5,مسئولیت های پیامبر,عمومی,یازدهم,E,
dini,دینی یازدهم,6,پیشوای اسوه,عمومی,یازدهم,E,
dini,دینی یازدهم,7,امامت، تداوم رسالت,عمومی,یازدهم,E,
dini,دینی یازدهم,8,جان و جانشین پیامبر,عمومی,یازدهم,E,
dini,دینی یازدهم,9,وضعیت فرهنگی، اجتماعی و سیاسی مسلمانان پس از رحلت ,عمومی,یازدهم,E,
dini,دینی یازدهم,10,احیای ارزش های راستین,عمومی,یازدهم,E,
dini,دینی یازدهم,11,جهاد در راستای ولایت ظاهری,عمومی,یازدهم,E,
dini,دینی یازدهم,12,عصر غیبت امام زمان,عمومی,یازدهم,E,
dini,دینی یازدهم,13,در انتظار ظهور,عمومی,یازدهم,E,
dini,دینی یازدهم,14,مرجعیت و ولایت فقیه,عمومی,یازدهم,E,
dini,دینی یازدهم,15,رهبری و مردم,عمومی,یازدهم,E,
dini,دینی یازدهم,16,عزت نفس,عمومی,یازدهم,E,
dini,دینی یازدهم,17,زمینه های پیوند,عمومی,یازدهم,E,
dini,دینی یازدهم,18,پیوند مقدس,عمومی,یازدهم,E,
math,ریاضی یازدهم,1,آشنایی با منطق و استدلال ریاضی,اختصاصی,یازدهم,E,
math,ریاضی یازدهم,2,تابع,اختصاصی,یازدهم,E,
math,ریاضی یازدهم,3,آمار,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,1,منابع پژوهش در تاریخ اسلام و ایران دوران اسلامی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,2,روش پژوهش در تاریخ,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,3,اسلام در مکه,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,4,امت و حکومت نبوی در مدینه,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,5,تثبیت گسترش اسلام در دوران خلفای نخستین,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,6,امویان بر مسند قدرت,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,7,جهان اسلام در عصر خلافت عباسی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,8,اسلام در ایران، زمینه های ظهور تمدن ایرانی-اسلامی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,9,ظهور و گسترش تمدن ایرانی-اسلامی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,10,ایران در دوران غزنوی، سلجوقی و خوارزمشاهی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,11,حکومت، جامعه و اقتصاد در عصر مغول-تیموری,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,12,فرهنگ و هنر در عصر مغول-تیموری,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,13,تحولات سیاسی و اقتصادی ایران در دوره صفوی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,14,فرهنگ و تمدن در عصر صفوی,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,15,قرون وسطا,اختصاصی,یازدهم,E,
history,تاریخ یازدهم,16,رنسانس و عصر جدید,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,1,معنا و مفهوم ناحیه,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,2,انسان و ناحیه,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,3,نواحی آب و هوایی,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,4,ناهمواری ها و اشکال زمین,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,5,نواحی زیستی,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,6,نواحی فرهنگی,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,7,نواحی اقتصادی(کشاورزی و صنعت),اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,8,نواحی اقتصادی(تجارت و اقتصاد جهانی),اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,9,معنا و مفهوم ناحیه سیاسی,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,10,کشور، یک ناحیه سیاسی,اختصاصی,یازدهم,E,
geography,جغرافیا یازدهم,11,ژئو پلیتیک,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,1,چیستی فلسفه,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,2,ریشه ها و شاخه های فلسفه,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,3,فلسفه و زندگی,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,4,آغاز تاریخی فلسفه,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,5,زندگی بر اساس اندیشه,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,6,امکان شناخت,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,7,ابزارهای شناخت,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,8,نگاهی به تاریخچه معرفت,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,9,چیستی انسان 1,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,10,چیستی انسان 2,اختصاصی,یازدهم,E,
philosophy,فلسفه یازدهم,11,انسان، موجود اخلاق گرا,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,1,روانشناسی: تعریف و روش مورد مطالعه,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,2,روانشناسی رشد,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,3,احساس، توجه، ادراک,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,4,حافظه و علل فراموشی,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,5,تفکر 1 حل مسئله,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,6,تفکر 2 تصمیم گیری,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,7,انگیزه و نگرش,اختصاصی,یازدهم,E,
psychology,روانشناسی یازدهم,8,روانشناسی سلامت,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,1,جهان فرهنگی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,2,فرهنگ جهانی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,3,نمونه های فرهنگ جهانی 1,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,4,نمونه های فرهنگ جهانی 2,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,5,باورها و ارزش های بنیادین فرهنگ غرب,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,6,چگونگی تکوین فرهنگ معاصر غرب,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,7,جامعه جهانی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,8,تحولات نظام جهانی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,9,جهان دو قطبی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,10,جنگ ها و تقابل های جهانی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,11,بحران های اقتصادی و زیست محیطی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,12,بحران های معرفتی و معنوی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,13,سرآغاز بیداری اسلامی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,14,انقلاب اسلامی ایران، نقطه عطف بیداری اسلامی,اختصاصی,یازدهم,E,
sociology,جامعه شناسی یازدهم,15,افق بیداری اسلامی,اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,0,ستایش:الهی,اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,1,تاریخ ادبیات فارسی در قرن های هفتم، هشتم و نهم,اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,2,پایه های آوایی,اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,3,تشبیه,اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,4,سبک شناسی قرن های هفتم، هشتم و نهم(سبک عراقی),اختصاصی,یازدهم,E,
oloom o fonoon,علوم و فنون یازدهم,5,پایه های آوایی همسان 1,اختصاصی,یازدهم,E,
