ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
geography,جغرافیا دهم,1,جغرافیا، علمی برای زندگی بهتر,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,2,روش مطالعه و پژوهش در جغرافیا,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,3,موقعیت جغرافیایی ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,4,ناهمواری های ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,5,آب و هوای ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,6,منابع آب ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,7,ویژگی های جمعیت ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,8,تقسیمات کشوری ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,9,سکونتگاه های ایران,عمومی,دهم,"T,R,E",
geography,جغرافیا دهم,10,توان های اقتصادی ایران,عمومی,دهم,"T,R,E",
writing,نگارش دهم,1,پرورش موضوع,عمومی,دهم,"T,R,E",
writing,نگارش دهم,2,عینک نوشتن,عمومی,دهم,"T,R,E",
writing,نگارش دهم,3,نوشته های عینی,عمومی,دهم,"T,R,E",
writing,نگارش دهم,4,نوشته های گزارش گونه,عمومی,دهم,"T,R,E",
writing,نگارش دهم,5,نوشته ذهنی 1 جانشین سازی,عمومی,دهم,"T,R,E",
writing,نگارش دهم,6,نوشته ذهنی 2 سنجش و مقایسه,عمومی,دهم,"T,R,E",
writing,نگارش دهم,7,نوشته ذهنی 3 ناسازی معنایی یا تضاد مفاهیم,عمومی,دهم,"T,R,E",
writing,نگارش دهم,8,نوشته های داستان گونه,عمومی,دهم,"T,R,E",
arabic,عربی دهم,1,درس 1,عمومی,دهم,E,
arabic,عربی دهم,2,درس 2,عمومی,دهم,E,
arabic,عربی دهم,3,درس 3,عمومی,دهم,E,
arabic,عربی دهم,4,درس 4,عمومی,دهم,E,
