ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
zist,زیست دهم,1,ملکول های اطلاعاتی,اختصاصی,دهم,T,
zist,زیست دهم,2,گوارش و جذب مواد,اختصاصی,دهم,T,
zist,زیست دهم,3,تبادلات گازی,اختصاصی,دهم,T,
zist,زیست دهم,4,گردش مواد در بدن,اختصاصی,دهم,T,
zist,زیست دهم,5,تنظیم اسمزی و دفع مواد زائد,اختصاصی,دهم,T,
zist,زیست دهم,6,از یاخته تا گیاه,اختصاصی,دهم,T,
zist,زیست دهم,7,جذب و انتقال مواد در گیاهان,اختصاصی,دهم,T,
physics,فیزیک دهم,1,فیزیک و اندازه گیری,اختصاصی,دهم,"T,R",دهم
physics,فیزیک دهم,2,ویژگی های فیزیکی مواد,اختصاصی,دهم,"T,R",دهم
physics,فیزیک دهم,3,کار، انرژی و توان,اختصاصی,دهم,"T,R",دهم
physics,فیزیک دهم,4,دما و گرما,اختصاصی,دهم,"T,R",دهم
physics,فیزیک دهم,4,ترمودینامیک,اختصاصی,دهم,R,دهم
chemistry,شیمی دهم,1,کیهان زادگاه الفبای هستی,اختصاصی,دهم,"T,R",دهم
chemistry,شیمی دهم,2,رد پای گازها در زندگی,اختصاصی,دهم,"T,R",دهم
chemistry,شیمی دهم,3,آب، آهنگ زندگی,اختصاصی,دهم,"T,R",دهم
math,ریاضی دهم,1,مجموعه، الگو و دنباله,اختصاصی,دهم,"T,R",
math,ریاضی دهم,2,مثلثات,اختصاصی,دهم,"T,R",
math,ریاضی دهم,3,توان های گویا و عبارت های جبری,اختصاصی,دهم,"T,R",
math,ریاضی دهم,4,معادله ها و نامعادله ها,اختصاصی,دهم,"T,R",
math,ریاضی دهم,5,تابع,اختصاصی,دهم,"T,R",
math,ریاضی دهم,6,شمارش، بدون شمردن,اختصاصی,دهم,"T,R",
math,ریاضی دهم,7,آمار و احتمال,اختصاصی,دهم,"T,R",
geometry,هندسه دهم,1,ترسیم های هندسی و استدلال,اختصاصی,دهم,R,دهم
geometry,هندسه دهم,2,قضیه تالس، تشابه و کاربردهای آن,اختصاصی,دهم,R,دهم
geometry,هندسه دهم,3,چندضلعی ها,اختصاصی,دهم,R,دهم
geometry,هندسه دهم,4,تجسم فضایی,اختصاصی,دهم,R,دهم
literature,ادبیات دهم,0,ستایش,عمومی,دهم,"T,R",
literature,ادبیات دهم,1,چشمه,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,2,از آموختن، ننگ مدار,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,3,پاسداری از حقیقت,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,5,بیداد ظالمان,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,6,مهر و وفا,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,7,جمال و کمال,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,8,سفر به بصره ,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,9,کلاس نقاشی,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,10,دریادلان صف شکن,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,11,خاک آزادگان,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,12,رستم و اشکبوس,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,13,گردآفرید,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,14,طوطی و بقال,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,16,خسرو,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,17,سپیده دهم,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,18,عظمت نگاه,عمومی,دهم,"T,R,E",
literature,ادبیات دهم,19,نیایش,عمومی,دهم,"T,R,E",
arabic,عربی دهم,1,درس 1,عمومی,دهم,"T,R",
arabic,عربی دهم,2,درس 2,عمومی,دهم,"T,R",
arabic,عربی دهم,3,درس 3,عمومی,دهم,"T,R",
arabic,عربی دهم,4,درس 4,عمومی,دهم,"T,R",
arabic,عربی دهم,5,درس 5,عمومی,دهم,"T,R",
arabic,عربی دهم,6,درس 6,عمومی,دهم,"T,R",
arabic,عربی دهم,7,درس 7,عمومی,دهم,"T,R",
arabic,عربی دهم,8,درس 8,عمومی,دهم,"T,R",
dini,دینی دهم,1,هدف زندگی,عمومی,دهم,"T,R,E",
dini,دینی دهم,2,پر پرواز,عمومی,دهم,"T,R,E",
dini,دینی دهم,3,پنجره ای به روشنایی,عمومی,دهم,"T,R,E",
dini,دینی دهم,4,آینده روشن,عمومی,دهم,"T,R,E",
dini,دینی دهم,5,منزلگاه بعد,عمومی,دهم,"T,R,E",
dini,دینی دهم,6,واقعه بزرگ,عمومی,دهم,"T,R,E",
dini,دینی دهم,7,فرجام کار,عمومی,دهم,"T,R,E",
dini,دینی دهم,8,آهنگ سفر,عمومی,دهم,"T,R,E",
dini,دینی دهم,9,دوستی با خدا,عمومی,دهم,"T,R,E",
dini,دینی دهم,10,یاری از نماز و روزه,عمومی,دهم,"T,R,E",
dini,دینی دهم,11,فضیلت آراستگی,عمومی,دهم,"T,R,E",
dini,دینی دهم,12,زیبایی پوشیدگی,عمومی,دهم,"T,R,E",
english,زبان دهم,1,درس اول,عمومی,دهم,"T,R,E",
english,زبان دهم,2,درس دوم,عمومی,دهم,"T,R,E",
english,زبان دهم,3,درس سوم,عمومی,دهم,"T,R,E",
english,زبان دهم,4,درس چهارم,عمومی,دهم,"T,R,E",
